point_id,corner_label,temp_c,vdd_v,amp_v_peak_per_tone,src_tone_v_peak_measured,pin_avail_dbm_per_tone,pout_dbm_per_tone,pim3_dbm,gain_db,iip3_dbm,oip3_dbm,iip3_dbm_dft_crosscheck,v_tone1_out_v,v_tone2_out_v,v_im3l_out_v,v_im3h_out_v,v_im5_out_v,im3_over_im5_db,ic1_a,idd_a,fft_npts,fft_df_hz
iip3_typ_27c_vdd1.62v_a1mv,typ,27,1.62,1.000000e-03,9.996210e-04,-56.0206,-44.5609,-153.1178,11.4597,-1.7422,9.7175,-1.7410,1.871500e-03,1.869460e-03,7.036130e-09,6.932100e-09,5.806560e-11,41.60,3.852250e-03,4.610370e-03,65536,3.814700e+06
iip3_typ_27c_vdd1.62v_a2mv,typ,27,1.62,2.000000e-03,1.999240e-03,-50.0000,-38.5406,-135.0879,11.4594,-1.7264,9.7331,-1.7261,3.742900e-03,3.738810e-03,5.604410e-08,5.529230e-08,1.135853e-10,53.81,3.852250e-03,4.610370e-03,65536,3.814700e+06
iip3_typ_27c_vdd1.80v_a0p5mv,typ,27,1.80,5.000000e-04,4.998100e-04,-62.0412,-50.5456,-171.6226,11.4956,-1.5027,9.9929,-1.4978,9.396390e-04,9.385980e-04,8.392370e-10,8.199590e-10,3.191735e-11,28.30,3.940300e-03,4.714420e-03,65536,3.814700e+06
iip3_typ_27c_vdd1.80v_a1mv,typ,27,1.80,1.000000e-03,9.996210e-04,-56.0206,-44.5250,-153.6973,11.4956,-1.4345,10.0611,-1.4332,1.879270e-03,1.877180e-03,6.576300e-09,6.490330e-09,6.350315e-11,40.25,3.940300e-03,4.714420e-03,65536,3.814700e+06
iip3_typ_27c_vdd1.80v_a2mv,typ,27,1.80,2.000000e-03,1.999240e-03,-50.0000,-38.5047,-135.6704,11.4953,-1.4171,10.0782,-1.4168,3.758430e-03,3.754260e-03,5.230980e-08,5.180450e-08,1.165833e-10,53.00,3.940300e-03,4.714420e-03,65536,3.814700e+06
iip3_typ_27c_vdd1.80v_a4mv,typ,27,1.80,4.000000e-03,3.998480e-03,-43.9794,-32.4850,-117.6102,11.4944,-1.4168,10.0776,-1.4167,7.516040e-03,7.507710e-03,4.182580e-07,4.145020e-07,1.684585e-10,67.86,3.940300e-03,4.714420e-03,65536,3.814700e+06
iip3_typ_27c_vdd1.80v_a8mv,typ,27,1.80,8.000000e-03,7.996960e-03,-37.9588,-26.4682,-99.5392,11.4906,-1.4233,10.0673,-1.4233,1.502550e-02,1.500890e-02,3.349170e-06,3.319940e-06,2.410875e-09,62.82,3.940300e-03,4.714420e-03,65536,3.814700e+06
iip3_typ_27c_vdd1.98v_a1mv,typ,27,1.98,1.000000e-03,9.996210e-04,-56.0206,-44.4897,-154.3322,11.5309,-1.0993,10.4316,-1.0979,1.886950e-03,1.884830e-03,6.101450e-09,6.044150e-09,5.763100e-11,40.45,4.033100e-03,4.823150e-03,65536,3.814700e+06
iip3_typ_27c_vdd1.98v_a2mv,typ,27,1.98,2.000000e-03,1.999240e-03,-50.0000,-38.4693,-136.2786,11.5307,-1.0953,10.4354,-1.0950,3.773800e-03,3.769560e-03,4.866740e-08,4.840580e-08,1.250325e-10,51.78,4.033100e-03,4.823150e-03,65536,3.814700e+06
iip3_wcs_-40c_vdd1.62v_a1mv,wcs,-40,1.62,1.000000e-03,9.996210e-04,-56.0206,-44.4631,-151.8378,11.5575,-2.3333,9.2243,-2.3320,1.892750e-03,1.890600e-03,8.142840e-09,8.043270e-09,6.192405e-11,42.33,3.821450e-03,4.566360e-03,65536,3.814700e+06
